STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
228;Bún chả nem;(Grilled pork with vermicelli and spring rolls);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_cha_nem_hp.png;810.5;22.1;26.9;120.1;275.9;;;217.6;5.8;2.4;2659.7;161.8;135.7;2496.7;79.3;;
229;Bún chả cô Thu;(Cô Thu's Kebab Rice Noodles);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_cha_co_thu_hp.png;434.8;15.4;11.5;67.4;81.7;;;86.3;2.4;1.4;2194.0;36.2;75.1;830.7;37.7;;
230;Bún chả;(Kebab rice noodles);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_cha.png;746.5;22.3;21.5;116.0;177.1;;;131.3;3.5;2.7;2865.7;66.9;103.2;1682.8;50.6;;
231;Bún cua thập cẩm;(Rice vermicelli soup with crab and mixed seafood);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_cua_thap_cam_hp.png;595.3;24.2;6.8;109.1;351.3;;;601.3;35.3;5.3;2227.0;87.0;143.6;3953.1;74.3;;
232;Bún cá chấm;(Fish noodle with dipings);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_ca_cham.png;670.4;34.7;16.0;97.0;157.9;;;282.8;3.9;1.4;1289.7;4.0;56.2;1870.4;64.9;;
233;Bún cá cay chú Khò;(Spicy Fish Noodle Soup of Chef Khò);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_ca_cay_chu_kho.png;515.8;36.1;17.1;54.4;82.8;;;213.0;2.3;0.4;1372.5;5.8;44.3;919.4;31.9;;
234;Phở xào;(Stir-fried pho);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_xao.png;456.5;18.5;20.3;49.9;57.3;;;117.2;4.0;2.2;69.2;36.0;29.3;668.2;58.3;;
235;Phở sốt vang;(Beef stew pho noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_sot_vang.png;582.1;40.9;25.4;47.4;63.4;;;92.5;6.8;0.2;1890.0;0.0;11.4;706.3;28.5;;
236;Phở gà;(Sliced-chicken noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_ga3.png;455.7;20.2;13.9;62.4;22.2;;;80.4;1.6;0.8;687.5;4.7;7.9;205.5;14.4;;
237;Phở chiên;(Stir-fried pho);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_chien.png;648.9;23.0;19.6;95.2;177.6;;;299.7;5.5;3.0;68.2;35.4;51.8;2118.9;97.0;;
238;Phở cuốn (10 cái);(Rolled up beef noodles);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_cuon_2.png;781.4;41.0;28.8;89.4;57.0;;;94.1;6.3;3.5;2065.1;88.1;78.2;587.1;30.2;;
239;Phở bò xào;(Fried rice noodles with beef);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/pho_bo_xao.png;576.3;28.8;17.1;76.8;157.1;;;296.5;5.8;5.1;701.1;50.2;75.6;1875.8;143.5;;
240;Bún trộn nam bộ;(Southern Vietnamese beef noodle salad);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_tron_nam_bo.png;492.8;20.0;12.8;74.5;125.7;;;68.7;2.6;0.6;1380.0;30.3;35.3;1258.2;8.2;;
241;Bún thang;(Hot rice noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_thang3.png;466.2;31.7;11.8;58.2;44.2;;;200.6;3.5;0.9;953.1;41.2;35.2;140.2;15.8;;
242;Bún riêu gánh;(Crab paste noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_rieu_ganh.png;673.9;43.5;29.2;59.2;112.4;;;2509.8;4.3;1.8;1690.6;42.4;62.6;1303.5;33.1;;
243;Bún ốc nóng;(Snail noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/22/bun_oc_nong2.png;436.5;29.4;6.0;66.3;100.0;;;1709.6;1.3;1.6;2038.9;4.6;26.9;1191.4;23.9;;
244;Bún ốc;(Snail rice noodles);https://viendinhduong.vn/storage/app/uploads/public/2025/10/21/bun_oc.png;502.6;42.3;11.8;56.8;106.4;;;123.4;2.6;3.8;2531.3;5.7;37.2;1238.2;40.0;;
245;Bún giả cày;(Vietnamese rice vermicelli with fermented pork knuckle stew);https://viendinhduong.vn/storage/app/uploads/public/2025/10/21/bun_gia_cay.png;817.0;21.5;17.6;143.2;280.5;;;560.9;7.8;3.1;3410.8;20.7;196.6;2978.2;98.6;;
246;Bún đậu mẹt;(Vermicelli with fried tofu and shrimp paste);https://viendinhduong.vn/storage/app/uploads/public/2025/10/21/bun_dau_met.png;857.7;40.5;30.6;105.2;74.2;;;422.1;13.6;2.5;73.1;30.7;73.9;662.5;14.9;;
247;Bún dọc mùng;(Colocasia gigantea noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/21/bun_doc_mung2.png;789.3;39.1;33.7;82.4;99.3;;;100.6;6.2;7.9;1634.0;166.0;62.0;785.0;31.7;;
248;Bún dọc mùng;(Colocasia gigantea noodle soup);https://viendinhduong.vn/storage/app/uploads/public/2025/10/21/bun_doc_mung.png;503.9;29.0;18.2;56.0;5.7;;;42.6;3.0;3.5;1079.0;103.0;23.0;39.8;2.4;;
249;Quả cóc dầm;(Pickled ambarella with chilli powder);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_136.png;217.0;6.3;;48.0;;;;131.6;5.6;;2468.0;;;;;;
250;Quẩy đường (5 cái);(Wheat fritters twisted fried);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_135.png;267.5;6.7;9.1;39.7;;0.1;;;;;;;;;;;
251;Pho mai que chiên 2 cái;(Deep fried cheese sticks (2 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_134.png;341.8;14.4;25.1;14.6;136.7;84.2;5.2;370.6;0.6;2.0;298.9;50.4;48.0;;;;
252;Ngô nướng;(Grilled Corn on the Cob);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_133.png;400.6;8.2;4.6;81.6;40.0;612.0;2.8;40.0;3.0;2.8;6.0;;78.0;;;;
253;Mực viên chiên đường phố (5 cái);(Fried squid balls on the street (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_132.png;146.9;5.6;9.8;9.1;6.9;169.2;0.1;2.7;0.7;0.3;7.5;;3.6;;;;15.5
254;Kẹo bông gòn;(Candy floss);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_131.png;99.3;;;24.8;;0.5;;0.1;;;;;;;;;
255;Củ dong luộc;(Boiled arrowroot);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_130.png;287.8;3.1;;68.8;;668.2;;93.9;;;163.1;;102.8;;;;
256;Cá viên chiên đường phố (5 cái);(Fried fish balls on the street (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_129.png;203.5;5.7;15.5;10.3;6.9;169.2;0.1;2.7;0.6;0.6;7.5;;3.6;;;;21.0
257;Bỏng ngô;(Popcorn);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_128.png;262.2;5.9;1.1;57.3;;414.1;;2.0;0.4;;235.3;;227.1;;;;
258;Bánh bỏng ngô mật;(Molasses popcorn);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_127.png;195.0;2.9;0.5;44.7;;203.1;;1.4;0.3;;115.2;;111.2;;;;
259;Bánh bỏng gạo;(Poprice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_126.png;398.9;6.0;0.7;92.2;;179.1;0.2;22.3;1.0;2.4;3.7;;10.4;;;;
260;Tào phớ thập cẩm;(Tofu with tapioca pearls and jelly);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_125.png;236.9;6.6;6.9;37.1;;422.5;0.3;241.2;6.9;1.3;67.4;;147.5;;;;
261;Nước mía chanh leo;(Passion fruit mix sugarcane juice);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_124.png;256.3;0.3;0.1;63.7;7.3;39.7;0.1;1.4;0.2;;3.2;;3.3;;;;
262;Nước chanh leo;(Passion fruit juice);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_123.png;66.0;0.5;0.2;15.6;15.4;83.7;0.1;3.3;0.4;;6.7;;7.0;;;;
263;Chè thập cẩm;(Mixed bean dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_121.png;593.2;20.7;16.8;89.8;13.1;880.3;6.3;122.4;12.0;2.0;9.5;;196.8;;;;
264;Chè đỗ xanh trân châu;(Mung bean dessert soup with tapioca pearls);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_120.png;388.7;10.3;10.6;63.0;0.6;390.7;7.3;72.6;4.2;1.0;13.8;;111.4;;;;
265;Chè đỗ đỏ;(Red bean dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_119.png;311.5;8.0;5.5;57.5;;644.6;0.2;84.3;7.1;2.7;13.6;;16.0;;;;
266;Chè đỗ đen;(Black bean dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_118.png;386.8;7.7;8.5;70.0;0.1;203.0;4.7;130.2;6.3;1.7;12.3;;63.6;;;;
267;Chè bưởi;(Pomelo dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_117.png;204.7;3.4;4.5;37.7;0.3;217.8;0.2;84.4;4.1;0.6;50.9;;47.6;;;;
268;Bò bía;(Sweet popiah);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_119.png;184.5;2.1;10.0;21.6;;148.1;1.3;29.6;7.8;1.4;2.0;1.3;47.0;;;;
269;Bánh tráng nướng;(Grilled girdle cake);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_115.png;314.0;13.0;20.2;19.7;59.2;183.1;9.9;83.4;2.1;0.6;123.3;131.5;18.8;;;;
270;Bánh ngô;(Sweet corn fritters);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_114.png;458.7;6.7;21.6;59.4;11.2;246.0;1.2;26.3;1.7;1.8;3.3;;91.4;;;;
271;Bánh khoai;(Sweet potato fritters);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_113.png;162.6;4.7;1.8;31.8;;;;5.4;1.2;0.7;;;;;;;
272;Bánh crepe xúc xích;(Sausage crepes cake);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_112.png;346.5;11.7;22.8;;;;;;;;;;;;;;
273;Bánh crepe socola chuối;(Banana chocolate crepe cake);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_111.png;309.1;7.4;14.8;36.7;100.8;354.9;3.1;81.1;1.4;1.2;219.6;88.5;87.0;;;;
274;Bánh crepe ngọt;(Sweet crepes cake);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_110.png;284.5;8.5;13.6;32.2;97.1;209.1;3.1;181.9;0.5;1.1;271.1;76.0;46.1;;;;
275;Bánh crepe mặn;(Crepes cake with sausage and cheese);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_109.png;299.8;10.0;20.5;18.9;93.4;180.0;8.5;129.8;0.6;1.3;371.3;85.5;39.0;;;;
276;Bánh crepe dăm bông phô mai;(Crepes cake with ham and cheese);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_108.png;350.4;10.3;23.8;23.7;105.4;175.6;9.3;145.8;0.8;1.0;394.0;91.5;45.8;;;;
277;Bánh crepe dăm bông phô mai;(Crepes cake with ham and cheese);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_108.png;350.4;10.3;23.8;23.7;105.4;175.6;9.3;145.8;0.8;1.0;394.0;91.5;45.8;;;;
278;Bánh gio mật mía;(Alkaline sticky rice dumplings with molasses);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_107.png;432.5;3.4;0.6;103.3;;25.0;;278.1;2.3;1.0;1.9;;1.0;;;;
279;Cháo ruốc thịt lợn;(Rice congee with dried shredded pork);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_106.png;223.6;7.7;4.3;38.6;;111.2;0.1;24.8;0.5;0.6;90.2;2.7;9.0;;;;
280;Cháo lòng lợn;(Rice congee with hog intestines);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_105.png;517.0;28.0;11.9;74.6;1535.0;577.9;6.0;148.0;15.5;4.1;781.9;243.0;51.7;;;;
281;Cháo đậu đen, đậu phụ;(Rice congee with black beans and fried tofu);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_104.png;307.1;15.2;10.4;38.2;0.7;193.9;3.6;53.4;3.2;1.3;8.1;;32.6;;;;
282;Xôi trắng thịt trứng;(Sticky rice with braised meat and eggs);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_103.png;689.7;23.6;14.6;115.9;138.7;661.5;7.7;79.4;4.3;4.1;444.9;589.3;45.2;;;;
283;Xôi ngô;(Sticky rice with maize seeds and mung bean paste);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_102.png;389.9;11.7;8.3;67.1;10.7;610.4;0.9;54.1;3.3;2.4;21.2;;79.7;;;;
284;Xôi lạc vừng ruốc;(Sticky rice with dried shredded pork and roasted peanut mixed with sesame and salt);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_101.png;457.0;15.7;8.5;79.5;0.1;371.2;4.9;53.8;1.9;2.7;136.2;6.0;48.8;;;;
285;Cơm suất (trứng, thịt ba chỉ);(Set meal (egg and pork belly));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_100.png;793.8;29.1;36.8;86.6;82.3;511.4;6.1;145.3;3.9;3.6;717.6;201.7;41.0;;;;
286;Cơm suất (thịt, cá);(Set meal (amur carp and pig leg));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_99.png;599.2;27.3;11.5;96.7;51.8;621.8;4.7;200.7;4.1;4.2;407.5;51.8;51.9;;;;
287;Cơm gà;(Economy rice with chicken);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_98.png;1140.4;51.8;56.5;106.2;148.2;713.1;5.2;209.5;7.0;5.9;561.4;348.2;65.1;;;;
288;Cơm bụi;(Low-price rice);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_97.png;770.9;40.2;23.7;99.3;13.8;592.8;11.3;141.7;3.9;4.1;348.3;54.3;44.2;;;;
289;Cơm bình dân (cá, thịt, tôm, đậu);(Set meal (scad fish, pork belly, shrimp and tofu));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_96.png;845.5;40.8;30.1;102.8;115.2;1246.5;7.1;189.0;7.3;3.9;1253.4;29.6;116.2;;;;
290;Cơm bình dân (thịt gà, tôm, thịt lợn ba chỉ);(Set meal (chicken, shrimp and pork belly));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_95.png;558.9;25.1;13.7;83.8;116.2;928.7;3.1;141.1;4.1;3.2;1271.5;15.0;41.9;;;;
291;Cơm bình dân (cá nục, thịt ba chỉ);(Set meal (scad fish and pork belly));https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_94.png;637.8;22.0;15.5;102.8;156.2;1170.9;4.5;171.4;8.5;3.6;602.7;29.6;93.4;;;;
292;Trứng chén nướng;(Grilled eggs);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_93.png;154.9;6.0;13.8;1.7;168.0;82.8;8.5;30.0;1.2;0.6;98.3;233.5;8.5;;;;
293;Set cánh, đùi gà tẩm bột chiên;(Set of deep fried chicken wings and drumsticks);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_92.png;685.9;21.1;43.1;53.4;11.2;431.8;0.1;51.6;2.3;1.4;90.2;89.0;42.4;;;;
294;Set cánh - đùi gà chiên mắm;(Set of fish sauce glazed chicken wings and drumsticks);https://viendinhduong.vn/storage/app/uploads/public/2025/08/21/screenshot_91.png;694.4;35.9;52.5;19.7;47.3;512.1;0.3;100.9;4.5;3.0;174.6;135.0;63.5;;;;
295;Phô mai chiên (2 viên);(Deep fried cheesecake (2 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_90.png;210.0;6.2;15.7;11.0;51.3;45.5;2.0;141.2;0.6;1.9;112.4;18.9;31.0;;;;
296;Nộm bò khô;(Salad with dried beef and green papaya);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_89.png;416.5;32.8;20.4;25.3;60.2;664.6;9.1;234.5;5.3;1.5;1926.6;71.7;161.1;;;;
297;Nem nướng cuốn;(Vietnamese grilled pork sausage rolls);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_88.png;641.2;26.2;12.5;106.0;184.5;783.2;1.2;155.1;3.5;2.9;888.5;17.2;63.3;;;;
298;Cốm làng vòng;(Vong village green rice);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_87.png;2992.0;61.0;8.0;669.0;;;;240.0;10.0;;;;;;;;
299;Chả cá lã vọng;(Rice vermicelli with fried fish-paste (La Vong style));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_85.png;666.1;39.9;17.5;87.3;151.7;543.9;14.0;499.2;3.1;1.7;1771.0;65.0;233.9;;;;
300;Cánh gà tẩm bột chiên;(Deep fried chicken wings);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_84.png;335.8;14.4;27.7;7.2;9.9;93.6;0.1;17.7;1.0;0.8;93.4;6.6;11.0;;;;
301;Cánh gà nướng (5 cái);(BBQ chicken wings (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_83.png;731.1;82.2;39.8;11.1;56.8;302.5;0.1;124.1;5.6;6.2;511.6;187.0;35.8;;;;
302;Tào phớ thập cẩm;(Tofu with tapioca pearls);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_82.png;356.3;13.2;2.1;71.2;;554.3;0.9;527.3;2.9;0.5;166.1;;234.1;;;;
303;Sữa tươi trân châu;(Bubble milk);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_81.png;424.5;9.2;9.9;74.7;116.6;322.4;2.3;281.8;1.0;0.9;855.0;94.5;36.0;;;;
304;Sữa chua đậu xanh rau má;(Mungbean-greenwort yogurt smoothie);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_80.png;291.1;14.2;6.2;44.6;143.0;598.8;1.8;482.8;4.7;1.3;80.8;20.3;111.0;;;;
305;Sữa chua trân châu;(Yogurt with tapioca pearls);https://viendinhduong.vn/storage/app/uploads/public/2025/03/31/107.PNG;271.4;6.7;7.6;44.1;52.6;306.9;2.0;276.4;1.6;1.1;95.9;25.9;23.1;;;;
306;Sữa chua thạch lá nếp;(Yogurt with pandan leaf jelly);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_78.png;395.8;8.6;6.8;74.9;60.7;578.0;1.9;351.9;2.3;1.8;98.4;23.2;103.2;;;;
307;Sữa chua nếp cẩm, mít, caramen;(Black sticky rice yogurt with jackfruit and caramel);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_77.png;566.3;12.3;8.7;109.7;30.3;320.4;1.8;246.2;4.0;1.1;49.6;12.3;32.8;;;;
308;Sữa chua nếp cẩm;(Black sticky rice yogurt);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_76.png;437.4;11.2;8.8;78.3;52.6;358.3;2.0;296.2;3.2;1.1;101.0;25.9;25.3;;;;
309;Nha đam trộn mít caramen;(Caramel with aloe vera and jackfruit);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_75.png;401.1;8.3;5.8;79.0;18.0;438.5;1.3;277.6;3.1;1.5;37.5;6.1;97.9;;;;
310;Chè thập cẩm (không có xôi);(Almond panna cotta dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_73.png;287.1;4.8;0.5;65.9;0.3;1.0;0.1;79.7;2.6;0.6;4.8;;63.4;;;;
311;Chè thập cẩm (có xôi);(Mixed bean dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_72.png;458.7;4.6;2.7;103.9;1.8;285.3;;302.8;3.7;0.6;28.3;;65.4;;;;
312;Chè khúc bạch;(Almond panna cotta dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_71.png;145.5;3.4;2.1;28.2;;328.0;1.8;130.6;1.4;0.9;11.9;;99.2;;;;
313;Chè kem dừa;(Coconut ice cream dessert soup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_70.png;385.5;5.5;10.8;66.5;57.6;324.1;2.2;258.9;4.7;1.0;53.8;;70.5;;;;
314;Caramen thập cẩm (không xôi);(Caramel mixed with tapioca pearls);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_69.png;299.2;5.6;4.6;58.8;;157.7;;292.4;2.3;0.7;20.9;;42.2;;;;
315;Caramen thập cẩm (có xôi);(Caramel mixed with black sticky rice, tapioca pearls and fruit);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_68.png;522.9;12.6;7.2;102.0;12.7;213.7;0.1;243.2;5.0;0.9;15.3;;30.8;;;;
316;Caramen matcha trộn;(Caramel mixed with match jelly);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_67.png;390.2;8.3;5.8;76.2;13.3;351.7;1.3;281.3;3.1;1.3;37.9;6.1;94.5;;;;
317;Caramen hoa quả tươi;(Caramel with mixed fruit);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_66.png;251.5;5.8;6.9;41.5;22.6;461.9;2.0;233.4;2.5;1.1;26.6;;36.9;;;;
318;Caramen;(Caramel);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_65.png;111.9;5.2;4.1;13.5;;;;83.5;0.9;0.5;;;;;;;
319;Cà phê trứng;(Egg coffee);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_64.png;228.8;8.7;17.7;8.7;544.8;153.5;;;;;;;;;;;
320;Pizza thịt xông khói (cỡ L);(Bacon pizza (L size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_63.png;2027.2;100.8;82.4;220.6;399.3;1023.6;16.9;1187.5;10.2;11.5;1072.4;209.3;550.6;;;;
321;Pizza thập cẩm (cỡ L);(Mixed pizza (L size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_62.png;1890.9;98.5;68.5;220.1;440.1;1285.2;17.8;1180.1;9.6;15.0;1080.5;197.4;552.6;;;;
322;Pizza hải sản (cỡ M);(Seafood pizza (M size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_61.png;935.9;51.9;30.1;114.4;280.7;681.2;11.3;796.8;6.3;7.0;959.9;210.3;304.8;;;;
323;Pizza hải sản (cỡ L);(Seafood pizza (L size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_60.png;1751.7;113.2;47.6;217.6;432.3;1833.2;18.8;1246.4;13.8;14.0;1285.7;657.8;629.6;;;;
324;Pizza gà phô mai (cỡ S);(Cheesy Chicken Pizza (S size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_59.png;638.1;28.0;28.5;67.4;155.0;284.4;13.4;374.2;3.9;4.0;340.4;65.3;176.7;;;;
325;Pizza gà nướng nấm (cỡ L);(BBQ chicken mushroom pizza (L size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_58.png;1728.6;85.8;56.2;219.9;635.7;1359.1;25.0;1166.3;9.3;13.0;1147.5;205.5;574.2;;;;
326;Pizza bò (cỡ M);(Premium beed pizza (M size));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_57.png;1111.9;51.0;45.1;125.5;276.7;660.7;20.5;752.2;7.6;8.0;845.0;123.0;319.5;;;;
327;Hamburger lợn;(Pork hamburger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_56.png;282.5;18.4;9.9;30.1;43.2;90.3;2.9;210.9;2.5;2.0;387.2;15.8;18.0;;;;
328;Hamburger Gà;(Chicken Humburger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_55.png;451.7;29.3;19.6;39.4;70.6;199.1;3.2;242.6;3.6;2.1;434.9;15.8;34.3;;;;
329;Hamburger Bò;(Beef Hamburger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_54.png;308.9;18.0;11.5;33.2;77.2;232.3;3.0;230.9;4.1;1.2;418.9;15.8;26.2;;;;
330;Burger Tôm;(Shrimp burger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_53.png;537.4;20.8;28.1;50.2;23.4;291.0;5.4;157.5;4.0;1.8;421.0;109.0;89.4;;;;
331;Burger gà;(Chicken Burger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_52.png;490.5;19.4;27.3;41.8;18.5;194.6;4.8;118.5;3.3;1.8;444.8;;26.4;;;;
332;Burger cá;(Fish Burger);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_51.png;305.7;22.1;7.1;38.4;12.9;192.5;4.7;141.0;3.8;0.7;427.5;;25.6;;;;
333;Bánh gà Hồng Mai;(Hong Mai Chicken nugget);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_50.png;1603.0;81.5;129.0;29.0;53.5;216.7;6.7;91.4;6.1;7.9;236.0;189.0;48.2;;;;
334;Bánh trôi tàu;(Glutinous rice balls filled with mung bean patse and black sesame patse in syrup);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_49.png;393.2;10.8;15.2;53.5;0.4;280.4;11.4;161.3;2.4;1.3;14.0;;77.0;;;;
335;Bánh tôm Hồ Tây;(Ho Tay crispy prawn fritters);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_48.png;479.8;17.9;16.6;64.8;130.2;423.3;1.3;122.0;3.4;2.8;84.1;64.6;186.7;;;;
336;Bánh cuốn Thanh Trì;(Rice pancake rolled with pork (Thanh Tri style));https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_47.png;518.5;31.6;17.9;57.7;29.8;228.4;0.7;109.5;6.4;3.8;17.3;;42.7;;;;
337;Bánh mỳ Pate thập cẩm;(Banh my with Pate and mixed);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_46.png;662.1;26.2;42.5;43.6;601.3;344.5;12.9;51.6;4.2;2.5;458.8;71.5;64.3;;;;
338;Bánh mỳ pa tê trứng;(Banh my with Pate and fried egg);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_45.png;426.5;23.5;18.4;41.7;513.7;261.9;0.1;52.1;3.5;0.2;235.0;56.9;52.3;;;;
339;Bánh mỳ chảo lợn;(Banh my with pork served in frying pan);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_43.png;726.2;35.7;39.7;56.5;629.1;512.5;9.1;84.9;6.5;1.5;415.4;130.3;79.5;;;;
340;Bánh mỳ chảo bò;(Banh my with beef served in frying pan);https://viendinhduong.vn/storage/app/uploads/public/2025/08/20/screenshot_42.png;686.5;37.4;34.9;55.7;615.4;288.1;1.0;87.8;8.0;2.3;693.1;125.5;97.1;;;;
