STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
42;Bánh tẻ;Savory steamed rice cake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_58.webp;336,4;13,7;9,8;48,4;1,1;;;42,4;5,2;2,2;364,8;33,8;44,2;1,3;0,5;;
43;Bánh rán vừng;Sesame fried cake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_57.webp;1042;17,1;57,8;113,3;0,8;;;221,9;6,6;5,3;12,2;3,2;151,9;9;1;;
44;Bánh rán vừng (5 cái);Sesame fried cakes (5 pieces);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_56.webp;508,6;8,3;28,1;55,6;0,3;;;86,8;2,6;2,1;4,7;1,3;59,2;3,5;0,4;;
45;Bánh rán ngọt;(Sweet fried cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_55.webp;250.9;3.6;0.4;58.4;;;;9.6;0.7;0.8;1.3;;54.9;0.3;;;
46;Bánh rán mật (5 cái);(Molasses-fried cakes (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_54.webp;297.6;4.6;14.0;38.3;0.2;;;72.3;1.4;1.1;88.4;;43.4;2.5;0.2;;
47;Bánh rán mật;(Molasses-fried cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_53.webp;691.0;10.7;32.5;88.9;0.7;8.1;0.7;237.6;4.7;3.4;290.3;;142.6;;;;
48;Bánh rán mặn;(Savory fried cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_52.webp;406.1;9.3;20.0;47.3;37.2;;;53.4;4.1;2.0;632.6;;35.0;362.5;19.4;;
49;Bánh rán đường (5 cái);(Sugar-coated fried cakes (5 pieces));https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_51.webp;325.9;5.1;15.3;41.9;0.2;;;79.2;1.6;1.2;96.8;;47.5;2.7;0.2;;
50;Bánh rán đường;(Sugar-coated fried cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_50.webp;680.0;10.5;32.0;87.5;0.6;;;206.6;4.1;3.0;252.4;;124.0;7.1;0.6;;
51;Bánh quẩy;(Fried dough sticks);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_49.webp;100.4;2.4;3.2;15.4;;;;;;;;;;;;;
52;Bánh nếp;(Glutinous rice cake);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_48.webp;282.9;8.0;3.7;54.3;0.4;;;16.5;1.2;1.4;99.4;5.4;40.8;2.9;0.4;;
53;Bánh mỳ thập cẩm;(Mixed sandwich);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_47.webp;541.4;22.8;30.3;44.5;400.5;;;73.0;4.7;1.3;206.5;86.5;95.0;494.3;25.2;;
54;Bánh mỳ que;(Breadstick);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_46.webp;478.0;5.6;42.1;19.1;373.4;;;40.6;2.6;0.2;253.4;42.0;33.0;670.7;24.1;;
55;Bánh mỳ giò chả;(Bread with pork sausage);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_45.webp;337.1;10.4;19.0;31.1;3.3;;;31.9;2.1;1.3;142.9;14.0;60.0;40.0;1.5;;
56;Bánh mỳ bate trứng;(Bread with pâté and egg);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_44.webp;415.8;17.6;20.9;39.5;914.2;;;58.9;4.3;0.4;944.7;79.5;59.8;2223.6;9.8;;
57;Bánh mỳ;(Bread);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_43.webp;125.0;4.0;0.4;26.4;;;;14.0;1.0;;;;;;;;
58;Bánh giò;(Pyramid rice dumpling);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_42.webp;325.5;15.0;11.1;41.3;85.4;;;52.3;5.4;2.2;348.4;265.5;40.6;4.2;0.4;;
